time,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi,product_gps_longitude,product_gps_latitude,altitude
0,0.0,0.0,0.0,-0.0161425322294235,-0.0153128420934081,-0.0032123988494277,117.44921950000028,39.25736750000042,0.0
100,0.0,0.0,0.0,-0.01615296673066543,-0.015359191528272507,-0.0031854076689053733,117.44921950000028,39.25736750000042,0.0
200,0.0,0.0,0.0,-0.016163401231907362,-0.015405540963136913,-0.0031584164883830465,117.44921950000028,39.25736750000042,0.0
300,0.0,0.0,0.0,-0.017166571232990945,-0.01702469239601085,-0.0032390702724100764,117.44921950000028,39.25736750000042,0.0
400,0.0,0.0,0.0,-0.018190001142234565,-0.01867594182884417,-0.0033219208924483174,117.44921950000028,39.25736750000042,0.0
500,0.0,0.0,0.0,-0.01873250129632643,-0.01945278011262409,-0.0031611340679227906,117.44921950000028,39.25736750000042,0.0
600,0.0,0.0,0.0,-0.01927014357410363,-0.02022078596055499,-0.0029978862591087405,117.44921950000028,39.25736750000042,0.0
700,0.0,0.0,0.0,-0.018744576555579387,-0.019450911223443525,-0.0030345079947762714,117.44921950000028,39.25736750000042,0.0
800,0.0,0.0,0.0,-0.018208270049213715,-0.018665502339008405,-0.0030731486147314952,117.44921950000028,39.25736750000042,0.0
900,0.0,0.0,0.0,-0.01831930956680963,-0.01888938795662285,-0.003263546953523304,117.44921950000028,39.25736750000042,0.0
1000,0.0,0.0,0.0,-0.0184435602277517,-0.0191338714212179,-0.0034570423886179,117.44921950000028,39.25736750000042,0.0
1100,0.0,0.0,0.0,-0.0181912882253527,-0.0187872368842363,-0.00323806889355175,117.44921941666698,39.25736741666706,0.0
1200,0.0,0.0,0.0,-0.0179390162229537,-0.0184406023472547,-0.0030190953984856,117.44921933333366,39.2573673333337,0.0
1300,0.0,0.0,0.0,-0.0179390162229537,-0.0184406023472547,-0.0030190953984856,117.44921933333366,39.2573673333337,0.0
1400,0.0,0.0,0.0,-0.0171520803123712,-0.0173563826829195,-0.0027142253238707,117.44921933333366,39.25736750000042,0.0
1500,0.0,0.0,0.0,-0.019140741704861644,-0.020751930385975538,-0.002709922913259017,117.44921941584188,39.25736741749214,2.4969458446312364e-05
1600,0.0,0.0,0.0,-0.021129403097352093,-0.02414747808903158,-0.0027056205026473336,117.44921949835012,39.25736733498386,4.993891689262473e-05
1700,0.0,0.0,0.0,-0.021673335834886006,-0.025086906898503326,0.0014139409318114356,117.44921950000028,39.2573673333337,6.776452967026882e-05
1800,0.0,0.0,0.0,-0.0221877843141555,-0.0259762108325958,0.005617487244307901,117.44921950000028,39.2573673333337,8.544434967916459e-05
1900,0.0,0.0,0.0,-0.0221877843141555,-0.0259762108325958,0.0056174872443079,117.44921950000028,39.2573673333337,8.544434967916459e-05
2000,0.01923359379172322,-0.009819960345824533,-0.12626616915067035,-0.017622058093547787,-0.01777947768568988,-0.014209588654339272,117.44921949573803,39.25736733938734,0.007404909819015232
2100,0.04390304365195331,-0.039790268978103935,-0.3969883977621793,0.0011623905599117343,-0.0225799855962395,-0.015171850011683963,117.44921944865405,39.25736737647288,0.04661195860709989
2200,0.0685591410566121,-0.06992926540784528,-0.6687216594070197,0.020074258893728235,-0.02754086900502435,-0.015873191324062615,117.44921940115263,39.25736741385039,0.08611512738745654
2300,0.09680957850068805,-0.09267890181392424,-0.8030505600571634,0.01798987125046546,0.004689088826999081,-0.008315429265494435,117.4492193012996,39.25736752161349,0.16885090101510283
2400,0.1250963224098086,-0.1153538982197642,-0.9359915378689767,0.01569340021349481,0.03729471172206099,-0.000674241920351034,117.44921920091777,39.25736763008755,0.2520233676210046
2500,0.07313567897932009,-0.09850758145652219,-0.9585960085068517,0.04362233686986272,0.05284585365697959,7.159304547697733e-05,117.44921905887487,39.25736772101952,0.3487277853129497
2600,0.02036445587873452,-0.0812620595097541,-0.9800859689712524,0.0718565806746482,0.0682247281074523,0.0007477779872715,117.44921891641116,39.25736781177429,0.4455688893795013
2700,0.0203644558787345,-0.0812620595097541,-0.9800859689712524,0.0718565806746482,0.0682247281074523,0.0007477779872715,117.44921891641116,39.25736781177429,0.4455688893795013
2800,-0.07995298455158864,0.03252324501673376,-0.9157175159454346,0.06588365445534379,0.02838134437799454,0.004379764925688498,117.4492189695071,39.257367664727965,0.6385204311211904
2900,-0.0813086256384849,0.0340608842670917,-0.9148476719856262,0.065802939236164,0.0278429202735424,0.0044288458302617,117.4492189702246,39.257367662740855,0.64112788438797
3000,-0.13595043133262175,0.05203894478544374,-0.5893549507772419,0.02785279753972105,-0.008345246865925585,0.0005727242793178693,117.44921910952134,39.257367268503465,0.7882454202208721
3100,-0.1367310285568237,0.0522957742214202,-0.5847050547599792,0.0273106526583433,-0.0088622206822037,0.0005176368285901,117.4492191115113,39.257367262871504,0.7903470993041992
3200,-0.1029157787561416,-0.0446716584265232,-0.33801281452178944,0.0210821479558944,-0.0358764752745628,0.0024117350112646,117.44921879769544,39.25736685497859,0.8842377662658691
3300,-0.1029157787561416,-0.0446716584265232,-0.3380128145217895,0.0210821479558944,-0.0358764752745628,0.0024117350112646,117.44921879769544,39.25736685497859,0.8842377662658691
3400,-0.0470978431403636,-0.0722736790776252,-0.1717113256454467,0.0773278325796127,-0.0405629985034465,-0.0018270532600581,117.44921830942867,39.25736651791258,0.941078245639801
3500,-0.0060537835570419266,-0.034933372014233834,-0.22385154228632134,0.08051891483011696,-0.0397715263676886,-0.00016165429688227225,117.449218304132,39.25736653116275,0.9573222220349474
3600,0.081274002790451,0.04451408982276908,-0.3347881734371184,0.0873084515333175,-0.0380875431001186,0.0033817477524279997,117.4492182928625,39.257366559354615,0.9918838739395142
3700,0.1067443117499351,0.10278540104627604,-0.5981083661317825,0.0750117860734462,-0.017395065282471502,0.0501977633684873,117.44921853107691,39.25736667764441,1.061966896057129
3800,0.1322146207094192,0.161056712269783,-0.8614285588264465,0.0627151206135749,0.003297412535175598,0.0970137789845466,117.44921876929132,39.2573667959342,1.1320499181747437
3900,0.1322146207094192,0.161056712269783,-0.8614285588264465,0.0627151206135749,0.0032974125351756,0.0970137789845466,117.44921876929132,39.2573667959342,1.1320499181747437
4000,0.1490764021873474,0.129922479391098,-1.2555536031723022,0.012078760191798196,0.0048134238459169,0.2804825603961944,117.44921918535644,39.25736708652685,1.343652844429016
4100,0.16537365317344666,0.11970902606844899,-1.415167212486267,0.03097244072705505,-0.0080501965712756,0.38291448354721064,117.44921941968424,39.257367351400354,1.4914180636405945
4200,0.1816709041595459,0.1094955727458,-1.574780821800232,0.049866121262311894,-0.0209138169884681,0.4853464066982268,117.44921965401204,39.25736761627386,1.6391832828521729
4300,0.18160265260467343,0.10978896309639892,-1.5772480719229753,0.049573419286924214,-0.020934269927880274,0.4873692472191417,117.4492196592176,39.257367619039556,1.6425066146196103
4400,0.17477749711742588,0.13912799815629037,-1.823973084197325,0.020303221748155683,-0.022979563869097625,0.6896532993106281,117.4492201797746,39.257367895608866,1.9748397913633609
4500,0.20623914830049672,0.11650438374610399,-1.938725809356076,-0.00025501034816904564,-0.023153282561568705,0.8036353477281541,117.4492204486323,39.257368095184304,2.1834897383972627
4600,0.2380875349044799,0.0933558940887451,-2.052145481109619,-0.02072524279356,-0.0233080964535474,0.91672545671463,117.4492207149476,39.25736829398202,2.39089035987854
4700,0.26286333799362177,0.03379362355917695,-2.1249325275421143,-0.0214961068704724,-0.02806823235005135,1.0179474651813507,117.44922060211465,39.25736845771289,2.6079095602035522
4800,0.2876391410827636,-0.025768646970391204,-2.1977195739746094,-0.0222669709473848,-0.0328283682465553,1.1191694736480713,117.44922048928171,39.25736862144377,2.8249287605285645
4900,0.2876391410827636,-0.0257686469703912,-2.1977195739746094,-0.0222669709473848,-0.0328283682465553,1.1191694736480713,117.44922048928171,39.25736862144377,2.8249287605285645
5000,0.390235960483551,-0.0408024452626705,-2.262829065322876,-0.0179843977093696,-0.109093926846981,1.3320943117141724,117.44922014203377,39.25736929332752,3.299962043762207
5100,0.390235960483551,-0.0408024452626705,-2.262829065322876,-0.0179843977093696,-0.109093926846981,1.3320943117141724,117.44922014203377,39.25736929332752,3.299962043762207
5200,0.4825995862483978,0.05435126647353171,-2.361515522003174,-0.0139053352177143,-0.0987978726625442,1.5202617645263672,117.44921992143983,39.25737020161214,3.7652394771575928
5300,0.4825995862483978,0.0543512664735317,-2.361515522003174,-0.0139053352177143,-0.0987978726625442,1.5202617645263672,117.44921992143983,39.25737020161214,3.7652394771575928
5400,0.4873901307582855,0.12062530219554898,-2.388056516647339,-0.0060935677029192,-0.0774004459381103,1.666885495185852,117.44922018083308,39.25737102283674,4.233518123626709
5500,0.48897759616374964,0.1316060572862625,-2.319055438041687,-0.020480077015235947,-0.07401815429329865,1.725140929222107,117.44922026880673,39.25737138257532,4.474282503128052
5600,0.4905650615692138,0.142586812376976,-2.250054359436035,-0.0348665863275527,-0.070635862648487,1.7833963632583618,117.44922035678036,39.2573717423139,4.7150468826293945
5700,0.5270959436893463,0.15260994434356684,-2.2125167846679688,-0.034844115376472404,-0.060111690312623894,1.820180952548981,117.44922044273895,39.257372245166465,4.932256460189819
5800,0.5636268258094788,0.1626330763101577,-2.1749792098999023,-0.0348216444253921,-0.0495875179767608,1.8569655418396,117.44922052869752,39.25737274801904,5.149466037750244
5900,0.5636268258094788,0.1626330763101577,-2.1749792098999023,-0.0348216444253921,-0.0495875179767608,1.8569655418396,117.44922052869752,39.25737274801904,5.149466037750244
6000,0.5938829779624939,0.1874686777591705,-2.463010311126709,0.005448332522064399,-0.0527219213545322,1.907359004020691,117.44922103774194,39.25737389641527,5.617143630981445
6100,0.5938829779624939,0.1874686777591705,-2.463010311126709,0.0054483325220644,-0.0527219213545322,1.907359004020691,117.44922103774194,39.25737389641527,5.617143630981445
6200,0.573043942451477,0.1495265513658523,-2.7056753635406494,0.0097180698066949,-0.0540085062384605,1.9437103271484373,117.44922135915174,39.25737506925007,6.140635013580322
6300,0.573043942451477,0.1495265513658523,-2.7056753635406494,0.0097180698066949,-0.0540085062384605,1.9437103271484373,117.44922135915174,39.25737506925007,6.140635013580322
6400,0.5759854912757874,0.1469696015119552,-2.835791826248169,0.0003867537016048993,-0.0776978805661201,1.9654157161712649,117.44922156166406,39.25737605075816,6.684445858001709
6500,0.5759854912757874,0.1469696015119552,-2.835791826248169,0.0003867537016049,-0.0776978805661201,1.9654157161712649,117.44922156166406,39.25737605075816,6.684445858001709
6600,0.5129093527793884,0.173544704914093,-2.866166114807129,0.030166512355208296,-0.0983451232314109,1.981575965881348,117.44922195303566,39.25737708453632,7.2746500968933105
6700,0.5129093527793884,0.173544704914093,-2.866166114807129,0.0301665123552083,-0.0983451232314109,1.981575965881348,117.44922195303566,39.25737708453632,7.2746500968933105
6800,0.4108102321624756,0.1691038012504577,-2.928948879241944,0.0080227116122841,-0.0563941597938537,1.9898935556411743,117.44922231160616,39.25737798354292,7.85814905166626
6900,0.4108102321624756,0.1691038012504577,-2.928948879241944,0.0080227116122841,-0.0563941597938537,1.9898935556411743,117.44922231160616,39.25737798354292,7.85814905166626
7000,0.4139863848686218,0.1410978883504867,-2.974245071411133,-0.0452556572854518,-0.0522754602134227,1.991984248161316,117.44922259228068,39.25737867567543,8.45584487915039
7100,0.4483789652585983,0.14692998677492136,-2.989155650138855,-0.0533481072634458,-0.05512592382729045,1.9935301542282104,117.44922271361702,39.257379099032995,8.756947994232178
7200,0.4827715456485748,0.152762085199356,-3.004066228866577,-0.0614405572414398,-0.0579763874411582,1.995076060295105,117.44922283495336,39.25737952239056,9.058051109313965
7300,0.4827715456485748,0.152762085199356,-3.004066228866577,-0.0614405572414398,-0.0579763874411582,1.995076060295105,117.44922283495336,39.25737952239056,9.058051109313965
7400,0.496095210313797,0.1981143206357956,-2.993755578994751,-0.0501962043344974,-0.0611071735620498,1.994290113449097,117.44922336298414,39.25738027010048,9.661229133605955
7500,0.5131232589483261,0.1865425035357475,-3.0096724033355713,-0.0448743682354688,-0.0461224345490336,1.9940902590751648,117.44922359368057,39.25738075090894,9.963390827178953
7600,0.5301513075828552,0.1749706864356994,-3.025589227676392,-0.0395525321364402,-0.031137695536017397,1.993890404701233,117.449223824377,39.25738123171741,10.265552520751951
7700,0.5406191349029541,0.1518352255225181,-3.023122191429138,-0.0463602785021066,-0.0403093202039599,1.9953755736351013,117.44922400836276,39.25738165844823,10.57131814956665
7800,0.551086962223053,0.1286997646093368,-3.0206551551818848,-0.053168024867773,-0.0494809448719024,1.9968607425689695,117.44922419234852,39.25738208517905,10.877083778381348
7900,0.551086962223053,0.1286997646093368,-3.0206551551818848,-0.053168024867773,-0.0494809448719024,1.9968607425689695,117.44922419234852,39.25738208517905,10.877083778381348
8000,0.5726857781410217,0.1245681792497634,-3.0165975093841557,-0.046440914273262,-0.0631579384207725,1.9952938556671145,117.44922440148449,39.257383073777966,11.46800708770752
