time,product_gps_sv_number,wifi_signal,product_gps_longitude,product_gps_latitude,altitude,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi
0,21,-56,117.4491348333342,39.25702166666801,0,0,0,0,-0.043275345116853714,0.21379341185092926,1.6045691967010498
42,21,-56,117.4491348333342,39.25702166666801,0,0,0,0,-0.043275345116853714,0.21379341185092926,1.6045691967010498
42,22,-56,117.4491348333342,39.25702166666801,0,0,0,0,-0.043275345116853714,0.21379341185092926,1.6045691967010498
200,22,-56,117.44913466666806,39.25702166666801,0,0,0,0,-0.04326178506016731,0.2138180285692215,1.6045998334884644
207,22,-48,117.44913466666806,39.25702166666801,0,0,0,0,-0.04326178506016731,0.2138180285692215,1.6045998334884644
400,22,-48,117.44913466666806,39.25702166666801,0,0,0,0,-0.043336085975170135,0.2137264907360077,1.6046489477157593
600,22,-48,117.44913450000054,39.25702166666801,0,0,0,0,-0.043689750134944916,0.21438701450824738,1.604710578918457
800,22,-48,117.44913450000054,39.25702166666801,0,0,0,0,-0.04321353882551193,0.21387745440006256,1.6047401428222656
1000,22,-48,117.4491343333344,39.25702150000129,0,0,0,0,-0.04334639385342598,0.21386760473251343,1.604674220085144
1200,22,-48,117.4491343333344,39.25702150000129,0,0,0,0,-0.04327773302793503,0.21417419612407684,1.604820728302002
1207,22,-45,117.4491343333344,39.25702150000129,0,0,0,0,-0.04327773302793503,0.21417419612407684,1.604820728302002
1398,22,-45,117.4491343333344,39.25702150000129,0,0,0,0,-0.04327773302793503,0.21417419612407684,1.604820728302002
1400,22,-45,117.44913450000054,39.25702150000129,0,0,0,0,-0.04317079856991768,0.2145855873823166,1.604807734489441
1600,22,-45,117.4491343333344,39.25702150000129,4.5153901737648994e-05,0,0,0,-0.04291357472538948,0.2148345708847046,1.6044374704360962
1800,22,-45,117.4491343333344,39.25702150000129,6.729929737048224e-05,0,0,0,-0.04794085770845413,0.21025554835796356,1.599271535873413
1903,22,-45,117.4491343333344,39.25702150000129,6.729929737048224e-05,0,0,0,-0.04794085770845413,0.21025554835796356,1.599271535873413
