time,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi,product_gps_longitude,product_gps_latitude,altitude
0,0,0,0,-0.021382853388786316,0.07750407606363297,1.0279810428619385,117.45159116666771,39.25510733333375,0
51,0,0,0,-0.021382853388786316,0.07750407606363297,1.0279810428619385,117.45159116666771,39.25510733333375,0
51,0,0,0,-0.021382853388786316,0.07750407606363297,1.0279810428619385,117.45159116666771,39.25510733333375,0
200,0,0,0,-0.02139337733387947,0.07749777287244797,1.0280065536499023,117.45159116666771,39.25510733333375,0
400,0,0,0,-0.021387679502367973,0.07748930901288986,1.027941346168518,117.45159116666771,39.25510733333375,0
451,0,0,0,-0.021387679502367973,0.07748930901288986,1.027941346168518,117.45159116666771,39.25510733333375,0
451,0,0,0,-0.021387679502367973,0.07748930901288986,1.027941346168518,117.45159116666771,39.25510733333375,0
600,0,0,0,-0.021358218044042587,0.07755354046821594,1.0280344486236572,117.4515910000006,39.25510733333375,0
651,0,0,0,-0.021358218044042587,0.07755354046821594,1.0280344486236572,117.4515910000006,39.25510733333375,0
652,0,0,0,-0.021358218044042587,0.07755354046821594,1.0280344486236572,117.4515910000006,39.25510733333375,0
748,0,0,0,-0.021358218044042587,0.07755354046821594,1.0280344486236572,117.4515910000006,39.25510733333375,0
800,0,0,0,-0.021563325077295303,0.07739289104938507,1.0278087854385376,117.4515910000006,39.25510750000047,0
1000,0,0,0,-0.021412409842014313,0.07742628455162048,1.0279051065444946,117.45159083333348,39.25510750000047,0
1200,0,0,0,-0.02138126641511917,0.07747361063957214,1.0278687477111816,117.45159083333348,39.25510750000047,0
1400,0,0,0,-0.021589798852801323,0.07740744948387146,1.027711272239685,117.45159066666915,39.25510733333375,0
1600,0,0,0,-0.021511685103178024,0.0778147503733635,1.0274046659469604,117.45159050000204,39.255107166667024,4.419813194544986e-05
1748,0,0,0,-0.021511685103178024,0.0778147503733635,1.0274046659469604,117.45159050000204,39.255107166667024,4.419813194544986e-05
1800,0,0,0,-0.023944979533553123,0.07591284811496735,1.025183916091919,117.45159050000204,39.255107166667024,6.567709351656958e-05
1883,0,0,0,-0.023944979533553123,0.07591284811496735,1.025183916091919,117.45159050000204,39.255107166667024,6.567709351656958e-05
2000,-0.024490628391504288,-0.041697703301906586,-0.23224081099033356,0.006147402338683605,0.03071887604892254,1.0125623941421509,117.45159033333493,39.25510733333375,0.015592620708048344
2200,-0.04903614893555641,-0.02282344549894333,-0.7319240570068359,-0.01902397722005844,-0.04009604826569557,1.0054130554199219,117.45159016666783,39.25510750000047,0.11514317989349365
2400,0.01099618524312973,0.06172849237918854,-0.9224430918693542,-0.03965677320957184,-0.01584271341562271,1.016740322113037,117.45159033333493,39.25510750000047,0.28272750973701477
2600,0.026721416041254997,0.06706202030181885,-0.9924283623695374,-0.005982480477541685,0.04248113930225372,1.023637056350708,117.45159050000204,39.25510766666719,0.47560447454452515
2748,0.026721416041254997,0.06706202030181885,-0.9924283623695374,-0.005982480477541685,0.04248113930225372,1.023637056350708,117.45159050000204,39.25510766666719,0.47560447454452515
2800,0.06299090385437012,0.0047576334327459335,-0.8519929051399231,-0.0038097891956567764,0.042082566767930984,1.0348378419876099,117.45159033333493,39.255107833333916,0.6677985191345215
3000,0.040220655500888824,-0.07317831367254257,-0.5394760966300964,0.009973609820008278,0.037045709788799286,1.03384530544281,117.45159016666783,39.255107833333916,0.806056022644043
