time,product_gps_sv_number,wifi_signal,product_gps_longitude,product_gps_latitude,altitude,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi
0,24,-54,117.44922866666637,39.25736750000042,0,0,0,0,-0.015864893794059753,-0.020056791603565216,0.06262888759374619
88,24,-54,117.44922866666637,39.25736750000042,0,0,0,0,-0.015864893794059753,-0.020056791603565216,0.06262888759374619
88,25,-54,117.44922866666637,39.25736750000042,0,0,0,0,-0.015864893794059753,-0.020056791603565216,0.06262888759374619
200,25,-54,117.44922866666637,39.25736750000042,0,0,0,0,-0.01598653569817543,-0.02021784894168377,0.06255552172660828
400,25,-54,117.44922866666637,39.25736750000042,0,0,0,0,-0.015716198831796646,-0.019936785101890564,0.06265152245759964
600,25,-54,117.44922866666637,39.25736750000042,0,0,0,0,-0.014063125476241112,-0.01798311620950699,0.06212295964360237
685,25,-54,117.44922866666637,39.25736750000042,0,0,0,0,-0.014063125476241112,-0.01798311620950699,0.06212295964360237
685,24,-54,117.44922866666637,39.25736750000042,0,0,0,0,-0.014063125476241112,-0.01798311620950699,0.06212295964360237
800,24,-54,117.44922866666637,39.25736750000042,0,0,0,0,-0.015538189560174942,-0.019624320790171623,0.06259874254465103
854,24,-53,117.44922866666637,39.25736750000042,0,0,0,0,-0.015538189560174942,-0.019624320790171623,0.06259874254465103
1000,24,-53,117.44922866666637,39.25736750000042,0,0,0,0,-0.01613636314868927,-0.020049944519996643,0.06260218471288681
1200,24,-53,117.44922866666637,39.25736750000042,0,0,0,0,-0.015963396057486534,-0.019882047548890114,0.06270920485258102
1400,24,-53,117.44922866666637,39.2573673333337,1.5512106983806007e-05,0,0,-0.0011145829921588302,-0.015819981694221497,-0.020437486469745636,0.06313617527484894
1600,24,-53,117.44922883333332,39.2573673333337,7.100048242136836e-05,0,0,0,-0.015953410416841507,-0.02013203501701355,0.06388530880212784
1767,24,-53,117.44922883333332,39.2573673333337,7.100048242136836e-05,0,0,0,-0.015953410416841507,-0.02013203501701355,0.06388530880212784
1800,24,-53,117.44922883333332,39.2573673333337,0.0001502995437476784,0,0,0,-0.020087843760848045,-0.025746338069438934,0.05838396027684212
1913,24,-53,117.44922883333332,39.2573673333337,0.0001502995437476784,0,0,0,-0.020087843760848045,-0.025746338069438934,0.05838396027684212
2000,24,-53,117.44922883333332,39.2573673333337,0.010066787712275982,-0.0016973564634099603,-0.04470565915107727,-0.1527981162071228,-0.02895265445113182,0.018629463389515877,0.04306001961231232
2201,24,-53,117.44922857003185,39.257367321603944,0.1017061099410057,-0.0045028612948954105,-0.12759554386138916,-0.7506726980209351,0.016604816541075706,-0.009386538527905941,0.05242989584803581
2400,24,-53,117.44922827308157,39.2573673927428,0.27612248063087463,0.048802006989717484,-0.10533112287521362,-0.9485350847244263,0.052537936717271805,-0.009243008680641651,0.061673518270254135
2600,24,-53,117.44922791654774,39.25736777372013,0.4647420048713684,0.1430417001247406,-0.07606899738311768,-0.9836210012435913,0.07276539504528046,0.016089703887701035,0.06630367785692215
2689,24,-53,117.44922791654774,39.25736777372013,0.4647420048713684,0.1430417001247406,-0.07606899738311768,-0.9836210012435913,0.07276539504528046,0.016089703887701035,0.06630367785692215
2689,25,-53,117.44922791654774,39.25736777372013,0.4647420048713684,0.1430417001247406,-0.07606899738311768,-0.9836210012435913,0.07276539504528046,0.016089703887701035,0.06630367785692215
2766,25,-53,117.44922791654774,39.25736777372013,0.4647420048713684,0.1430417001247406,-0.07606899738311768,-0.9836210012435913,0.07276539504528046,0.016089703887701035,0.06630367785692215
