time,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi,product_gps_longitude,product_gps_latitude,altitude
0,0,0,0,0.004694387316703796,0.23972752690315247,-0.08057104051113129,117.44935866665858,39.256996500037914,0
46,0,0,0,0.004694387316703796,0.23972752690315247,-0.08057104051113129,117.44935866665858,39.256996500037914,0
200,0,0,0,0.004638844169676304,0.2397005707025528,-0.08058687299489975,117.44935849999162,39.256996500037914,0
400,0,0,0,0.0044233123771846294,0.23952220380306244,-0.08062851428985596,117.44935849999162,39.256996500037914,0
600,0,0,0,0.0043256510980427265,0.2394586056470871,-0.08080000430345535,117.44935849999162,39.256996500037914,0
800,0,0,0,0.004466594196856022,0.23947931826114655,-0.08058972656726837,117.44935849999162,39.256996500037914,0
1000,0,0,0,0.004414411261677742,0.2396160215139389,-0.08071734756231308,117.44935849999162,39.256996500037914,0
1047,0,0,0,0.004414411261677742,0.2396160215139389,-0.08071734756231308,117.44935849999162,39.256996500037914,0
1200,0,0,0,0.004501227755099535,0.2397705614566803,-0.08036202192306519,117.44935849999162,39.256996500037914,0
1338,0,0,0,0.004501227755099535,0.2397705614566803,-0.08036202192306519,117.44935849999162,39.256996500037914,0
1400,0,0,0,0.00434728292748332,0.2399270385503769,-0.08052908629179001,117.44935849999162,39.256996500037914,0
1600,0,0,0,0.005180968437343836,0.24014636874198914,-0.0749548152089119,117.44935849999162,39.25699633336028,6.824407319072634e-05
1800,0,0,-0.0038744115736335516,0.006722306367009878,0.24064023792743683,-0.06168152764439583,117.44935866665858,39.25699633336028,0.00013374285481404513
1947,0,0,-0.0038744115736335516,0.006722306367009878,0.24064023792743683,-0.06168152764439583,117.44935866665858,39.25699633336028,0.00013374285481404513
2000,-0.08198774605989456,0.003667260752990842,-0.0711875706911087,0.007322908844798803,0.1627783328294754,-0.05745021626353264,117.44935866665858,39.25699633336028,0.0046186125837266445
2049,-0.08198774605989456,0.003667260752990842,-0.0711875706911087,0.007322908844798803,0.1627783328294754,-0.05745021626353264,117.44935866665858,39.25699633336028,0.0046186125837266445
2200,-0.23841546475887299,-0.08159199357032776,-0.6531901955604553,-0.029922980815172195,-0.027668127790093422,-0.06567902863025665,117.4493586444725,39.256995957629826,0.07011228054761887
2400,-0.1347268521785736,-0.18729010224342346,-0.9320372343063354,0.04447755217552185,-0.055303458124399185,-0.05622042715549469,117.44935829020415,39.256995572935395,0.23321054875850677
2483,-0.1347268521785736,-0.18729010224342346,-0.9320372343063354,0.04447755217552185,-0.055303458124399185,-0.05622042715549469,117.44935829020415,39.256995572935395,0.23321054875850677
2483,-0.1347268521785736,-0.18729010224342346,-0.9320372343063354,0.04447755217552185,-0.055303458124399185,-0.05622042715549469,117.44935829020415,39.256995572935395,0.23321054875850677
2600,-0.09127959609031677,-0.14258462190628052,-0.9598639011383057,0.1039055660367012,0.012375282123684883,-0.05753641203045845,117.44935780702836,39.256995308759926,0.4279574751853943
2800,-0.15048426389694214,-0.033017273992300034,-0.944128155708313,0.1118798702955246,-0.01775434985756874,-0.061075035482645035,117.44935769154557,39.25699490037498,0.6239061951637268
3000,-0.12754277884960175,0.06588631868362427,-0.6026042103767395,0.09774947911500931,-0.043468691408634186,-0.06387513875961304,117.44935791298545,39.256994430260804,0.7800523638725281
