time,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi,product_gps_longitude,product_gps_latitude,altitude
0,0.0,0.0,0.0,-0.0835516676306724,0.2340718358755111,-0.0715802982449531,117.44914066666657,39.25702900000105,0.0
100,0.0,0.0,0.0,-0.0835766158998012,0.23405752331018442,-0.07159133628010744,117.44914066666657,39.25702908333441,0.0
200,0.0,0.0,0.0,-0.08360156416893,0.2340432107448578,-0.0716023743152618,117.44914066666657,39.25702916666777,0.0
300,0.0,0.0,0.0,-0.08361134743690486,0.2340380380153656,-0.07160268473625178,117.44914066666657,39.25702916666777,0.0
400,0.0,0.0,0.0,-0.08365211105346679,0.23401648497581481,-0.07160397815704339,117.44914066666657,39.25702916666777,0.0
500,0.0,0.0,0.0,-0.0836419253118673,0.2340529719040022,-0.07159505084381622,117.44914066666657,39.257029249582374,0.0
600,0.0,0.0,0.0,-0.0836312249302864,0.23409004509449,-0.0715860202908515,117.44914066666657,39.25702933333449,0.0
700,0.0,0.0,0.0,-0.08359327886383332,0.234094952840117,-0.07158684689755458,117.44914058374773,39.25702933333449,0.0
800,0.0,0.0,0.0,-0.08355533279738023,0.23409986058574403,-0.07158767350425767,117.4491405008289,39.25702933333449,0.0
900,0.0,0.0,0.0,-0.08357036134875412,0.2341035233533128,-0.07158927630025443,117.44914049999971,39.2570293817976,0.0
1000,0.0,0.0,0.0,-0.083607941865921,0.234112337231636,-0.071593165397644,117.44914049999971,39.25702950000031,0.0
1100,0.0,0.0,0.0,-0.08363281420214254,0.23412250115800257,-0.07158468063197912,117.44914049999971,39.257029582919074,0.0
1200,0.0,0.0,0.0,-0.08365768653836408,0.23413266508436914,-0.07157619586631425,117.44914049999971,39.25702966583784,0.0
1300,0.0,0.0,0.0,-0.08368529716328753,0.23415424259164225,-0.07157556615283135,117.44914049999971,39.25702966666703,0.0
1400,0.0,0.0,0.0,-0.0837129354476928,0.2341759353876114,-0.0715750157833099,117.44914049999971,39.25702966666703,0.0
1500,0.0,0.0,0.0,-0.0836742185056209,0.23415843397378922,-0.0715684443712234,117.44914049999971,39.25702966666703,0.0
1600,0.0,0.0,0.0,-0.083635501563549,0.234140932559967,-0.0715618729591369,117.44914049999971,39.25702966666703,0.0
1700,0.0,0.0,0.0,-0.083635501563549,0.234140932559967,-0.0715618729591369,117.44914049999971,39.25702966666703,0.0
1800,0.0,0.0,0.0,-0.0835566446185112,0.2341154366731643,-0.0715176314115524,117.44914049999971,39.25702983333375,0.0
