time,battery_level,controller_gps_latitude,controller_gps_longitude,flying_state,alert_state,wifi_signal,product_gps_available,product_gps_longitude,product_gps_latitude,product_gps_position_error,product_gps_sv_number,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi,altitude,flip_type,speed
1,98,39.257034,117.44914733333331,7,7,-49,True,117.44915816666614,39.257035666666546,0,22,0,0,0,0.006319084670394659,0.15809015929698944,1.8419684171676636,0,0,0
200,98,39.257034,117.44914733333331,7,7,-49,True,117.44915816666614,39.257035666666546,0,22,0,0,0,0.006280109751969576,0.1580226719379425,1.8419820070266724,0,0,0
280,98,39.257034,117.44914733333331,7,7,-49,True,117.44915816666614,39.257035666666546,0,22,0,0,0,0.006280109751969576,0.1580226719379425,1.8419820070266724,0,0,0
280,98,39.257034,117.44914733333331,7,7,-49,True,117.44915816666614,39.257035666666546,0,23,0,0,0,0.006280109751969576,0.1580226719379425,1.8419820070266724,0,0,0
301,98,39.257034,117.44914733333331,7,7,-42,True,117.44915816666614,39.257035666666546,0,23,0,0,0,0.006280109751969576,0.1580226719379425,1.8419820070266724,0,0,0
400,98,39.257034,117.44914733333331,7,7,-42,True,117.44915816666614,39.25703549999994,0,23,0,0,0,0.006411462090909481,0.15780536830425262,1.8421400785446167,0,0,0
600,98,39.257034,117.44914733333331,7,7,-42,True,117.44915816666614,39.25703549999994,0,23,0,0,0,0.005637069698423147,0.15575623512268066,1.8420093059539795,0,0,0
800,98,39.257034,117.44914733333331,7,7,-42,True,117.44915816666614,39.25703549999994,0,23,0,0,0,0.005732725840061903,0.1574002504348755,1.84193754196167,0,0,0
1000,98,39.257034,117.44914733333331,7,7,-42,True,117.44915816666614,39.25703549999994,0,23,0,0,0,0.005792370066046715,0.15745265781879425,1.842187762260437,0,0,0
1200,98,39.257034,117.44914733333331,7,7,-42,True,117.44915816666614,39.25703549999994,0,23,0,0,0,0.005828533321619034,0.15690560638904572,1.842000126838684,0,0,0
1301,98,39.257034,117.44914733333331,7,7,-55,True,117.44915816666614,39.25703549999994,0,23,0,0,0,0.005828533321619034,0.15690560638904572,1.842000126838684,0,0,0
1400,98,39.257034,117.44914733333331,7,7,-55,True,117.44915816666614,39.25703549999994,0,23,0,0,0,0.005738576874136925,0.15661709010601044,1.8420929908752441,0,0,0
1600,98,39.257034,117.44914733333331,7,7,-55,True,117.44915816666614,39.25703549999994,0,23,0,0,0,0.0043335831724107265,0.15534475445747375,1.8421204090118408,4.371638351585716e-05,0,0
1676,98,39.257034,117.44914733333331,7,7,-55,True,117.44915816666614,39.25703549999994,0,23,0,0,0,0.0043335831724107265,0.15534475445747375,1.8421204090118408,4.371638351585716e-05,0,0
1676,98,39.257034,117.44914733333331,7,7,-55,True,117.44915816666614,39.25703549999994,0,22,0,0,0,0.0043335831724107265,0.15534475445747375,1.8421204090118408,4.371638351585716e-05,0,0
1800,98,39.257034,117.44914733333331,7,7,-55,True,117.44915799999931,39.25703549999994,0,22,0,0,-0.002277116756886244,-0.003276397939771414,0.1478087604045868,1.83929443359375,6.607866089325398e-05,0,0
1931,98,39.257034,117.44914733333331,1,7,-55,True,117.44915799999931,39.25703549999994,0,22,0,0,-0.002277116756886244,-0.003276397939771414,0.1478087604045868,1.83929443359375,6.607866089325398e-05,0,0
2000,98,39.257034,117.44914733333331,1,7,-55,True,117.44915799999931,39.25703533333333,0,22,0.04797907918691635,-0.012989185750484467,-0.1345568299293518,-0.07094822078943253,0.04428758844733238,1.8352727890014648,0.008672679774463177,0,0
2200,98,39.257034,117.44914733333331,1,7,-55,True,117.44915766666634,39.25703549999994,0,22,0.26443663239479065,0.1239987388253212,-0.6342464685440063,-0.015167798846960068,-0.03966967761516571,1.839422345161438,0.08426214754581451,0,0
2302,98,39.257034,117.44914733333331,1,7,-50,True,117.44915766666634,39.25703549999994,0,22,0.26443663239479065,0.1239987388253212,-0.6342464685440063,-0.015167798846960068,-0.03966967761516571,1.839422345161438,0.08426214754581451,0,0
