time,battery_level,controller_gps_latitude,controller_gps_longitude,flying_state,alert_state,wifi_signal,product_gps_available,product_gps_longitude,product_gps_latitude,product_gps_position_error,product_gps_sv_number,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi,altitude,flip_type,speed
0,53,39.257201500000114,117.44915200000054,0,7,-48,True,117.4491643333333,39.25717666666872,0,21,0,0,0,-0.08337101340293884,0.20401045680046082,1.5018118619918823,0,0,0
200,53,39.257201500000114,117.44915200000054,0,7,-48,True,117.44916416666668,39.25717666666872,0,21,0,0,0,-0.08342324942350388,0.20395277440547943,1.5017905235290527,0,0,0
400,53,39.257201500000114,117.44915200000054,0,7,-48,True,117.44916416666668,39.25717683333544,0,21,0,0,0,-0.08343727141618729,0.2038872092962265,1.501800298690796,0,0,0
442,53,39.257201500000114,117.44915200000054,0,7,-57,True,117.44916416666668,39.25717683333544,0,21,0,0,0,-0.08343727141618729,0.2038872092962265,1.501800298690796,0,0,0
600,53,39.257201500000114,117.44915200000054,0,7,-57,True,117.44916399999995,39.257177000002166,0,21,0,0,0,-0.0834556296467781,0.2041255384683609,1.5017726421356201,0,0,0
800,53,39.257201500000114,117.44915200000054,0,7,-57,True,117.44916383333332,39.257177000002166,0,21,0,0,0,-0.0834553986787796,0.20403943955898285,1.5017805099487305,0,0,0
1000,53,39.257201500000114,117.44915200000054,0,7,-57,True,117.44916383333332,39.25717716666707,0,21,0,0,0,-0.08336696028709412,0.2040766179561615,1.501793622970581,0,0,0
1200,53,39.257201500000114,117.44915200000054,0,7,-57,True,117.44916366666665,39.25717733333379,0,21,0,0,0,-0.08345816284418106,0.20420408248901367,1.501769781112671,0,0,0
1400,53,39.257201500000114,117.44915200000054,0,7,-57,True,117.4491635,39.257177500000516,0,21,0,0,0,-0.08342688530683517,0.20419512689113617,1.501754641532898,0,0,0
1444,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.4491635,39.257177500000516,0,21,0,0,0,-0.08342688530683517,0.20419512689113617,1.501754641532898,0,0,0
1600,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.4491635,39.257177500000516,0,21,0,0,0,-0.08346368372440338,0.20397016406059265,1.5017279386520386,0,0,0
1800,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.4491635,39.257177500000516,0,21,0,0,0,-0.08349668234586716,0.20400653779506683,1.5017116069793701,0,0,0
1858,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.4491635,39.257177500000516,0,21,0,0,0,-0.08349668234586716,0.20400653779506683,1.5017116069793701,0,0,0
2000,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.44916333333335,39.25717766666906,0,21,0,0,0,-0.08354879915714264,0.20399783551692963,1.501702904701233,0,0,0
2200,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.44916316666668,39.25717783333578,0,21,0,0,0,-0.08351637423038483,0.20396804809570312,1.5017082691192627,0,0,0
2400,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.44916316666668,39.257178000002504,0,21,0,0,0,-0.08351027220487595,0.20398418605327606,1.5016651153564453,0,0,0
2442,53,39.257201500000114,117.44915200000054,0,7,-51,True,117.44916316666668,39.257178000002504,0,21,0,0,0,-0.08351027220487595,0.20398418605327606,1.5016651153564453,0,0,0
2600,53,39.257201500000114,117.44915200000054,0,7,-51,True,117.44916316666668,39.257178000002504,0,21,0,0,0,-0.08341516554355621,0.2038135528564453,1.501688003540039,0,0,0
2800,53,39.257201500000114,117.44915200000054,0,7,-51,True,117.44916300000004,39.25717816666923,0,21,0,0,0,-0.08342616260051727,0.2037971019744873,1.5016602277755737,0,0,0
3000,53,39.257201500000114,117.44915200000054,0,7,-51,True,117.44916300000004,39.25717833333595,0,21,0,0,0,-0.0832635909318924,0.20387408137321472,1.501638412475586,0,0,0
3200,53,39.257201500000114,117.44915200000054,0,7,-51,True,117.44916283333338,39.257178500002674,0,21,0,0,0,-0.08340411633253098,0.2038881927728653,1.5016329288482666,0,0,0
3400,53,39.257201500000114,117.44915200000054,0,7,-51,True,117.44916283333338,39.257178500002674,0,21,0,0,0,-0.08338790386915207,0.20387527346611023,1.5015861988067627,0,0,0
3442,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.44916283333338,39.257178500002674,0,21,0,0,0,-0.08338790386915207,0.20387527346611023,1.5015861988067627,0,0,0
3600,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.44916283333338,39.25717866666758,0,21,0,0,0,-0.08343898504972458,0.20384536683559418,1.5015579462051392,0,0,0
3800,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.4491626666667,39.2571788333343,0,21,0,0,0,-0.08342359960079193,0.20387470722198486,1.5015393495559692,0,0,0
4000,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.44916250000007,39.2571788333343,0,21,0,0,0,-0.0834042951464653,0.2039193958044052,1.5014889240264893,0,0,0
4200,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.44916250000007,39.257179000001024,0,21,0,0,0,-0.08354168385267258,0.20382243394851685,1.5014457702636719,0,0,0
4400,53,39.257201500000114,117.44915200000054,0,7,-54,True,117.44916233333336,39.257179000001024,0,21,0,0,0,-0.08352959156036377,0.20386944711208344,1.501418113708496,0,0,0
4442,53,39.257201500000114,117.44915200000054,0,7,-55,True,117.44916233333336,39.257179000001024,0,21,0,0,0,-0.08352959156036377,0.20386944711208344,1.501418113708496,0,0,0
4600,53,39.257201500000114,117.44915200000054,0,7,-55,True,117.44916233333336,39.25717916666775,0,21,0,0,0,-0.08346381038427353,0.20398685336112976,1.5014164447784424,0,0,0
4800,53,39.257201500000114,117.44915200000054,0,7,-55,True,117.44916216666674,39.25717916666775,0,21,0,0,0,-0.0835273265838623,0.20410753786563873,1.5014079809188843,0,0,0
5000,53,39.257201500000114,117.44915200000054,0,7,-55,True,117.44916200000011,39.25717933333447,0,21,0,0,0,-0.08344205468893051,0.20414738357067108,1.5013803243637085,0,0,0
5200,53,39.257201500000114,117.44915200000054,0,7,-55,True,117.4491618333334,39.25717933333447,0,21,0,0,0,-0.08348999172449112,0.20416073501110077,1.5012917518615723,0,0,0
5400,53,39.257201500000114,117.44915200000054,0,7,-55,True,117.4491618333334,39.25717950000119,0,21,0,0,0,-0.08349667489528656,0.20411047339439392,1.5012880563735962,0,0,0
5443,53,39.257201500000114,117.44915200000054,0,7,-48,True,117.4491618333334,39.25717950000119,0,21,0,0,0,-0.08349667489528656,0.20411047339439392,1.5012880563735962,0,0,0
5600,53,39.257201500000114,117.44915200000054,0,7,-48,True,117.4491618333334,39.257179666669735,0,21,0,0,0,-0.08359383046627045,0.20415784418582916,1.5012776851654053,0,0,0
5800,53,39.257201500000114,117.44915200000054,0,7,-48,True,117.4491616666667,39.257179666669735,0,21,0,0,0,-0.08354488760232925,0.20418213307857513,1.5012439489364624,0,0,0
6000,53,39.257201500000114,117.44915200000054,0,7,-48,True,117.44916149999997,39.25717983333646,0,21,0,0,0,-0.08351148664951324,0.20412887632846832,1.5012325048446655,0,0,0
6200,53,39.257201500000114,117.44915200000054,0,7,-48,True,117.44916149999997,39.25717983333646,0,21,0,0,0,-0.0835988000035286,0.20420123636722565,1.501204490661621,0,0,0
6400,53,39.257201500000114,117.44915200000054,0,7,-48,True,117.44916133333344,39.25718000000136,0,21,0,0,0,-0.08359532058238983,0.20417092740535736,1.5011248588562012,0,0,0
6442,53,39.257201500000114,117.44915200000054,0,7,-50,True,117.44916133333344,39.25718000000136,0,21,0,0,0,-0.08359532058238983,0.20417092740535736,1.5011248588562012,0,0,0
6600,53,39.257201500000114,117.44915200000054,0,7,-50,True,117.44916116666673,39.25718000000136,0,21,0,0,0,-0.08356908708810806,0.20412200689315796,1.5010993480682373,0,0,0
6800,53,39.257201500000114,117.44915200000054,0,7,-50,True,117.44916100000002,39.257180166668086,0,21,0,0,0,-0.08349746465682983,0.2040686160326004,1.5010815858840942,0,0,0
6861,53,39.257201500000114,117.44915200000054,0,7,-50,True,117.44916100000002,39.257180166668086,0,21,0,0,0,-0.08349746465682983,0.2040686160326004,1.5010815858840942,0,0,0
7000,53,39.257201500000114,117.44915200000054,0,7,-50,True,117.44916100000002,39.257180166668086,0,21,0,0,0,-0.08352231979370117,0.20413413643836975,1.501062035560608,0,0,0
7200,53,39.257201500000114,117.44915200000054,0,7,-50,True,117.44916083333348,39.25718033333481,0,21,0,0,0,-0.0835193395614624,0.20409715175628662,1.5010539293289185,0,0,0
7400,53,39.257201500000114,117.44915200000054,0,7,-50,True,117.44916083333348,39.25718050000153,0,21,0,0,0,-0.08354365080595016,0.203982874751091,1.5010374784469604,0,0,0
7442,53,39.257201500000114,117.44915200000054,0,7,-52,True,117.44916083333348,39.25718050000153,0,21,0,0,0,-0.08354365080595016,0.203982874751091,1.5010374784469604,0,0,0
7600,53,39.257201500000114,117.44915200000054,0,7,-52,True,117.44916066666677,39.25718050000153,0,21,0,0,0,-0.08358711749315262,0.2040577530860901,1.5010055303573608,0,0,0
