time,battery_level,controller_gps_latitude,controller_gps_longitude,flying_state,alert_state,wifi_signal,product_gps_available,product_gps_longitude,product_gps_latitude,product_gps_position_error,product_gps_sv_number,speed_vx,speed_vy,speed_vz,angle_phi,angle_theta,angle_psi,altitude,flip_type,speed
0,59,39.25701346019727,117.44912184754776,7,0,-44,True,117.44911816666793,39.257020333334225,0,21,0,0,0,-0.0715738907456398,0.2059401571750641,1.2954128980636597,0,0,0
200,59,39.25701346019727,117.44912184754776,7,0,-44,True,117.44911833333406,39.257020333334225,0,21,0,0,0,-0.07155944406986237,0.20587323606014252,1.2954275608062744,0,0,0
400,59,39.25701346019727,117.44912184754776,7,0,-44,True,117.44911816666793,39.257020333334225,0,21,0,0,0,-0.07178913056850433,0.20589588582515717,1.2954180240631104,0,0,0
600,59,39.25701346019727,117.44912184754776,7,0,-44,True,117.44911800000179,39.257020333334225,0,21,0,0,0,-0.07143216580152512,0.20613791048526764,1.2953863143920898,0,0,0
800,59,39.25701346019727,117.44912184754776,7,0,-44,True,117.44911800000179,39.25702016666841,0,21,0,0,0,-0.07135500758886337,0.2058858871459961,1.29550302028656,0,0,0
979,59,39.25701346019727,117.44912184754776,7,0,-47,True,117.44911800000179,39.25702016666841,0,21,0,0,0,-0.07135500758886337,0.2058858871459961,1.29550302028656,0,0,0
1000,59,39.25701346019727,117.44912184754776,7,0,-47,True,117.44911816666793,39.25702016666841,0,21,0,0,0,-0.07148674875497818,0.20612560212612152,1.2952325344085693,0,0,0
1200,59,39.25701346019727,117.44912184754776,7,0,-47,True,117.44911816666793,39.25702016666841,0,21,0,0,0,-0.07137037068605423,0.20606572926044464,1.2955600023269653,0,0,0
1400,59,39.25701346019727,117.44912184754776,7,0,-47,True,117.44911800000179,39.25702000000169,0,21,0,0,0,-0.07148012518882751,0.20636264979839325,1.2954468727111816,0,0,0
1600,59,39.25701346019727,117.44912184754776,7,0,-47,True,117.44911800000179,39.25702000000169,0,21,0,0,0,-0.07055632025003433,0.2075616866350174,1.2949258089065552,6.251689774217084e-05,0,0
1800,59,39.25701346019727,117.44912184754776,7,0,-47,True,117.44911800000179,39.257019833334056,0,21,0,0,-0.0015830707270652056,-0.07335365563631058,0.19782190024852753,1.2904572486877441,0.00010045256203738973,0,0
1815,59,39.25701346019727,117.44912184754776,7,0,-47,True,117.44911800000179,39.257019833334056,0,21,0,0,-0.0015830707270652056,-0.07335365563631058,0.19782190024852753,1.2904572486877441,0.00010045256203738973,0,0
1815,59,39.25701346019727,117.44912184754776,7,0,-47,True,117.44911800000179,39.257019833334056,0,19,0,0,-0.0015830707270652056,-0.07335365563631058,0.19782190024852753,1.2904572486877441,0.00010045256203738973,0,0
1900,59,39.25701346019727,117.44912184754776,1,0,-47,True,117.44911800000179,39.257019833334056,0,19,0,0,-0.0015830707270652056,-0.07335365563631058,0.19782190024852753,1.2904572486877441,0.00010045256203738973,0,0
1978,59,39.25701346019727,117.44912184754776,1,0,-57,True,117.44911800000179,39.257019833334056,0,19,0,0,-0.0015830707270652056,-0.07335365563631058,0.19782190024852753,1.2904572486877441,0.00010045256203738973,0,0
2000,59,39.25701346019727,117.44912184754776,1,0,-57,True,117.44911800000179,39.257019833334056,0,19,0.0008568227058276534,-0.08486557006835938,-0.17156347632408142,-0.039277154952287674,0.10207898169755936,1.2806766033172607,0.009267603978514671,0,0
